status,polling_unit_code,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
exist and not blur,20/27/06/002,0.0,1.0,0.0,1
exist and not blur,16/10/10/001,1.0,1.0,1.0,0
exist and not blur,36/05/09/007,1.0,0.0,1.0,0
exist and not blur,01/15/05/045,1.0,1.0,0.0,1
exist and not blur,14/17/15/005,1.0,1.0,1.0,0
exist and not blur,16/19/02/021,1.0,0.0,1.0,1
exist and not blur,36/03/03/014,1.0,1.0,0.0,1
exist and not blur,16/10/07/010,1.0,1.0,1.0,0
exist and not blur,19/38/02/015,1.0,1.0,0.0,1
exist and not blur,09/02/06/005,1.0,1.0,0.0,1
exist and not blur,16/05/13/019,0.0,1.0,1.0,1
exist and not blur,19/24/13/010,1.0,1.0,1.0,0
exist and not blur,09/11/01/010,1.0,1.0,1.0,0
exist and not blur,15/07/07/015,1.0,1.0,1.0,0
exist and not blur,19/08/09/011,1.0,1.0,1.0,0
exist and not blur,09/04/03/002,1.0,1.0,1.0,0
exist and not blur,09/09/01/008,0.0,1.0,1.0,1
exist and not blur,19/24/09/033,1.0,1.0,1.0,0
exist and not blur,16/13/10/005,0.0,1.0,1.0,1
exist and not blur,13/04/08/018,1.0,1.0,1.0,0
exist and not blur,09/10/03/007,1.0,1.0,1.0,0
exist and not blur,01/01/06/021,1.0,1.0,1.0,0
exist and not blur,36/03/01/018,0.0,0.0,1.0,0
exist and not blur,19/09/05/014,0.0,1.0,1.0,1
exist and not blur,20/10/01/002,1.0,1.0,1.0,0
exist and not blur,13/04/02/021,1.0,1.0,1.0,0
exist and not blur,16/16/03/010,1.0,1.0,0.0,1
exist and not blur,19/19/02/015,1.0,1.0,1.0,0
exist and not blur,36/14/01/008,1.0,1.0,1.0,0
exist and not blur,36/03/06/012,1.0,1.0,0.0,1
exist and not blur,19/03/04/003,0.0,1.0,0.0,1
exist and not blur,19/01/09/020,0.0,0.0,1.0,0
exist and not blur,20/16/11/014,1.0,1.0,1.0,0
exist and not blur,19/23/07/007,0.0,1.0,1.0,1
exist and not blur,16/24/02/011,1.0,1.0,0.0,1
exist and not blur,16/09/12/018,1.0,1.0,1.0,0
